Symbol,Description
A5,ATX Index
A5.C,ATX Index Continuation
A5H24,ATX Index {Mar 24}
A5M24,ATX Index {Jun 24}
A5U24,ATX Index {Sep 24}
A5Z23,ATX Index {Dec 23}
AC.C,MSCI World Index Continuation
ACH24,MSCI World Index {Mar 24}
ACH25,MSCI World Index {Mar 25}
ACH26,MSCI World Index {Mar 26}
ACH27,MSCI World Index {Mar 27}
ACH28,MSCI World Index {Mar 28}
ACM24,MSCI World Index {Jun 24}
ACM25,MSCI World Index {Jun 25}
ACM26,MSCI World Index {Jun 26}
ACM27,MSCI World Index {Jun 27}
ACM28,MSCI World Index {Jun 28}
ACU24,MSCI World Index {Sep 24}
ACU25,MSCI World Index {Sep 25}
ACU26,MSCI World Index {Sep 26}
ACU27,MSCI World Index {Sep 27}
ACU28,MSCI World Index {Sep 28}
ACZ23,MSCI World Index {Dec 23}
ACZ24,MSCI World Index {Dec 24}
ACZ25,MSCI World Index {Dec 25}
ACZ26,MSCI World Index {Dec 26}
ACZ27,MSCI World Index {Dec 27}
ACZ28,MSCI World Index {Dec 28}
AI.C,DivDAX Futures Continuation
AIH24,DivDAX Futures {Mar 24}
AIM24,DivDAX Futures {Jun 24}
AIU24,DivDAX Futures {Sep 24}
AIZ23,DivDAX Futures {Dec 23}
AQ.C,Stoxx Dividend 30 Continuation
AQH24,Stoxx Dividend 30 {Mar 24}
AQM24,Stoxx Dividend 30 {Jun 24}
AQU24,Stoxx Dividend 30 {Sep 24}
AQZ23,Stoxx Dividend 30 {Dec 23}
C1.C,Euro Stoxx Chemicals Continuation
C1H24,Euro Stoxx Chemicals {Mar 24}
C1M24,Euro Stoxx Chemicals {Jun 24}
C1U24,Euro Stoxx Chemicals {Sep 24}
C1Z23,Euro Stoxx Chemicals {Dec 23}
CF.C,Eurex Conf 10-Year Continuation
CFH24,Eurex Conf 10-Year {Mar 24}
CFM24,Eurex Conf 10-Year {Jun 24}
CFU24,Eurex Conf 10-Year {Sep 24}
CFZ23,Eurex Conf 10-Year {Dec 23}
D0.C,IPD UK Property Idx Continuation
D0H24,IPD UK Property Idx {Mar 24}
D0M24,IPD UK Property Idx {Jun 24}
D0U24,IPD UK Property Idx {Sep 24}
D0Z23,IPD UK Property Idx {Dec 23}
D9.C,Euro Stoxx Oil & Gas Continuation
D9H24,Euro Stoxx Oil & Gas {Mar 24}
D9M24,Euro Stoxx Oil & Gas {Jun 24}
D9U24,Euro Stoxx Oil & Gas {Sep 24}
D9Z23,Euro Stoxx Oil & Gas {Dec 23}
DM,MDAX Index
DM.C,MDAX Index Continuation
DMH24,MDAX Index {Mar 24}
DMM24,MDAX Index {Jun 24}
DMU24,MDAX Index {Sep 24}
DMZ23,MDAX Index {Dec 23}
DO.C,Euro Stoxx Dividend Continuation
DOM24,Euro Stoxx Dividend {Jun 24}
DOM25,Euro Stoxx Dividend {Jun 25}
DOZ23,Euro Stoxx Dividend {Dec 23}
DOZ24,Euro Stoxx Dividend {Dec 24}
DOZ25,Euro Stoxx Dividend {Dec 25}
DOZ26,Euro Stoxx Dividend {Dec 26}
DOZ27,Euro Stoxx Dividend {Dec 27}
DOZ28,Euro Stoxx Dividend {Dec 28}
DOZ29,Euro Stoxx Dividend {Dec 29}
DOZ30,Euro Stoxx Dividend {Dec 30}
DOZ31,Euro Stoxx Dividend {Dec 31}
DOZ32,Euro Stoxx Dividend {Dec 32}
DOZ33,Euro Stoxx Dividend {Dec 33}
DV,VSTOXX Mini
DV.C,VSTOXX Mini Continuation
DVF24,VSTOXX Mini {Jan 24}
DVG24,VSTOXX Mini {Feb 24}
DVH24,VSTOXX Mini {Mar 24}
DVJ24,VSTOXX Mini {Apr 24}
DVK24,VSTOXX Mini {May 24}
DVM24,VSTOXX Mini {Jun 24}
DVN24,VSTOXX Mini {Jul 24}
DVQ24,VSTOXX Mini {Aug 24}
DVZ23,VSTOXX Mini {Dec 23}
DY,DAX Index
DY.C,DAX Index Continuation
DYH24,DAX Index {Mar 24}
DYH25,DAX Index {Mar 25}
DYH26,DAX Index {Mar 26}
DYM24,DAX Index {Jun 24}
DYM25,DAX Index {Jun 25}
DYM26,DAX Index {Jun 26}
DYU24,DAX Index {Sep 24}
DYU25,DAX Index {Sep 25}
DYU26,DAX Index {Sep 26}
DYZ23,DAX Index {Dec 23}
DYZ24,DAX Index {Dec 24}
DYZ25,DAX Index {Dec 25}
DYZ26,DAX Index {Dec 26}
DZ.C,TECDAX Index Continuation
DZH24,TECDAX Index {Mar 24}
DZM24,TECDAX Index {Jun 24}
DZU24,TECDAX Index {Sep 24}
DZZ23,TECDAX Index {Dec 23}
FA.C,Euro Stoxx Banks 600 Continuation
FAH24,Euro Stoxx Banks 600 {Mar 24}
FAM24,Euro Stoxx Banks 600 {Jun 24}
FAU24,Euro Stoxx Banks 600 {Sep 24}
FAZ23,Euro Stoxx Banks 600 {Dec 23}
FB.C,Stoxx Banks 600 Continuation
FBH24,Stoxx Banks 600 {Mar 24}
FBM24,Stoxx Banks 600 {Jun 24}
FBU24,Stoxx Banks 600 {Sep 24}
FBZ23,Stoxx Banks 600 {Dec 23}
FM.C,Stoxx Mid 200 Continuation
FMH24,Stoxx Mid 200 {Mar 24}
FMM24,Stoxx Mid 200 {Jun 24}
FMU24,Stoxx Mid 200 {Sep 24}
FMZ23,Stoxx Mid 200 {Dec 23}
FN.C,Euro OAT Continuation
FNH24,Euro OAT {Mar 24}
FNM24,Euro OAT {Jun 24}
FNU24,Euro OAT {Sep 24}
FNZ23,Euro OAT {Dec 23}
FP.C,OMX Helsinki 25 Continuation
FPH24,OMX Helsinki 25 {Mar 24}
FPM24,OMX Helsinki 25 {Jun 24}
FPU24,OMX Helsinki 25 {Sep 24}
FPZ23,OMX Helsinki 25 {Dec 23}
FS.C,Stoxx 50 Continuation
FSH24,Stoxx 50 {Mar 24}
FSM24,Stoxx 50 {Jun 24}
FSU24,Stoxx 50 {Sep 24}
FSZ23,Stoxx 50 {Dec 23}
FU.C,Euro Stoxx 50 TR Continuation
FUH24,Euro Stoxx 50 TR {Mar 24}
